5.023;2; 426.88; 0.0; 48.0; 21.44; 0.0;20220630;084831
5.024;1; 412.8; 0.0; 44.0; 22.58; 30.72;20220630;084831
5.024;2; 411.84; 0.0; 42.0; 23.06; 1643.52;20220630;084831
5.025;0; 412.8; 0.0; 43.0; 23.44; 84.48;20220630;084831
5.030;0; 416.96; 1.0; 45.0; 22.86; 1141.76;20220630;084831
5.031;0; 426.88; 0.0; 41.0; 24.84; 314.88;20220630;084831
5.032;0; 435.84; 1.0; 44.0; 22.5; 1863.68;20220630;084831
6.007;1; 411.84; 0.0; 51.0; 20.78; 20.48;20220630;084831
6.007;2; 424.0; 0.0; 50.0; 21.02; 0.0;20220630;084831
6.008;0; 406.72; 0.0; 50.0; 20.94; 92.16;20220630;084831
6.009;0; 435.84; 0.0; 52.0; 20.32; 15.36;20220630;084831
6.010;0; 504.96; 1.0; 47.0; 21.84; 491.52;20220630;084831
6.011;0; 427.84; 0.0; 52.0; 20.34; 407.04;20220630;084831
6.012;0; 492.8; 1.0; 47.0; 23.18; 645.12;20220630;084831
6.015;0; 408.96; 0.0; 52.0; 20.56; 28.16;20220630;084831
6.019;0; 408.0; 0.0; 49.0; 20.94; 128.0;20220630;084831
6.024;0; 406.72; 0.0; 53.0; 20.52; 299.52;20220630;084831
6.025;0; 413.76; 0.0; 49.0; 20.8; 115.2;20220630;084831
6.027;0; 426.88; 0.0; 41.0; 23.68; 2.56;20220630;084831
6.030;0; 418.88; 1.0; 43.0; 23.62; 209.92;20220630;084831
6.031;1; 456.96; 1.0; 44.0; 22.68; 256.0;20220630;084831
6.031;2; 413.76; 1.0; 44.0; 22.48; 153.6;20220630;084831
6.032;0; 416.0; 1.0; 45.0; 22.5; 133.12;20220630;084831
6.037;0; 435.84; 1.0; 46.0; 22.88; 547.84;20220630;084831
6.038;0; 410.88; 1.0; 46.0; 22.18; 878.08;20220630;084831
6.038A;0; 449.92; 1.0; 47.0; 22.14; 0.0;20220630;084831
